name,status,metric_name,best_metric,best_epoch,log_path,curve_path,save_path
baseline_ep40,dry_run,,,,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\results\tuning\baseline_ep40.log,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\results\tuning\baseline_ep40.png,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\model\fusion_runs\baseline_ep40.pkl
lr5e-4_ep40,dry_run,,,,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\results\tuning\lr5e-4_ep40.log,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\results\tuning\lr5e-4_ep40.png,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\model\fusion_runs\lr5e-4_ep40.pkl
lr2e-3_ep40,dry_run,,,,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\results\tuning\lr2e-3_ep40.log,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\results\tuning\lr2e-3_ep40.png,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\model\fusion_runs\lr2e-3_ep40.pkl
drop005_ep40,dry_run,,,,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\results\tuning\drop005_ep40.log,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\results\tuning\drop005_ep40.png,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\model\fusion_runs\drop005_ep40.pkl
drop02_ep40,dry_run,,,,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\results\tuning\drop02_ep40.log,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\results\tuning\drop02_ep40.png,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\model\fusion_runs\drop02_ep40.pkl
deeper_lat256,dry_run,,,,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\results\tuning\deeper_lat256.log,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\results\tuning\deeper_lat256.png,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\model\fusion_runs\deeper_lat256.pkl
wd1e-4_ep40,dry_run,,,,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\results\tuning\wd1e-4_ep40.log,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\results\tuning\wd1e-4_ep40.png,C:\Users\CodexSandboxOffline\.codex\.sandbox\cwd\bb7ffd32d4b26135\model\fusion_runs\wd1e-4_ep40.pkl
